policy,reference,seed,budget,mean,ci_low,ci_high,resamples,unit,conditional_on_fitted_models
random,entropy,17,0.2,0.0926826148138672,0.08238294742228476,0.10375623640782908,1000,individual test image,True
single_model_risk,entropy,17,0.2,0.009082768325444544,0.0025569272099270823,0.015479084047588588,1000,individual test image,True
l2d_single_head,entropy,17,0.2,0.024497889215811693,0.015862862990917232,0.0330065882051938,1000,individual test image,True
moe_mean,entropy,17,0.2,0.0086989893821159,0.002619291288217987,0.015162466419342456,1000,individual test image,True
moe_tail,entropy,17,0.2,0.025137520788026096,0.018227900729179992,0.03191921453242932,1000,individual test image,True
calibrated_tail,entropy,17,0.2,0.0086989893821159,0.002619291288217987,0.015162466419342456,1000,individual test image,True
