,mean_cost,mean_cost,cvar90,cvar90,selective_accuracy,selective_accuracy,severe_error_capture,severe_error_capture
,mean,std,mean,std,mean,std,mean,std
policy,,,,,,,,
calibrated_tail,0.06543430983753358,0.003970355520746703,0.6543430983753359,0.039703555207467094,0.9416373520946594,0.00034848888259838667,0.7566133160375711,0.045253111127784976
entropy,0.06127670461813995,0.0,0.6127670461813997,0.0,0.9529101375119923,0.0,0.7279411764705882,0.0
l2d_single_head,0.0813398149332651,0.006245612823789674,0.8133981493326513,0.06245612823789663,0.9323899371069183,0.003777388462877684,0.6596747720584514,0.04501766396211735
moe_mean,0.06543430983753358,0.003970355520746703,0.6543430983753359,0.039703555207467094,0.9416373520946594,0.00034848888259838667,0.7566133160375711,0.045253111127784976
moe_tail,0.08310946228305828,0.003121987472639707,0.8310946228305832,0.031219874726397187,0.9138418079096046,0.002417488427923807,0.7676767676767677,0.01979457241802162
random,0.1557076457293932,0.0016198388054430594,1.5570764572939322,0.016198388054430593,0.8896972604199979,0.0006704906526707956,0.20098039215686272,0.029716557972995442
single_model_risk,0.06560487825679075,0.004284258446089496,0.6560487825679077,0.042842584460894895,0.9433162775823473,0.0009009775879104534,0.7598039215686274,0.0489582949888191
