seed,policy,budget,tail_weight,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,random,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,random,0.05,,15634,0.04995522578994499,0.8896519221706053,0.18664449277216325,1.8180887808622235,0.022058823529411766,136,133,0.03981572885817703
17,random,0.1,,15634,0.09997441473711143,0.8898443607419515,0.17609057183062557,1.760905718306256,0.08088235294117647,136,125,0.09410990457387299
17,random,0.2,,15634,0.19994882947422285,0.889350815478094,0.15395931943200716,1.539593194320072,0.22794117647058823,136,105,0.2079631457716354
17,random,0.3,,15634,0.2999872073685557,0.8900767543859649,0.1342586670078035,1.3425866700780353,0.3235294117647059,136,92,0.30931227377426784
17,random,0.4,,15634,0.39996162210566716,0.8906299968020467,0.11276704618139952,1.1276704618139954,0.4485294117647059,136,75,0.4198749588680487
17,entropy,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,entropy,0.05,,15634,0.04995522578994499,0.9086379855921363,0.14877830369707049,1.4877830369707052,0.2867647058823529,136,97,0.23461665021388614
17,entropy,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
17,entropy,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06127670461813995,0.6127670461813997,0.7279411764705882,136,37,0.6847647252385654
17,entropy,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
17,entropy,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
17,single_model_risk,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
17,single_model_risk,0.05,,15634,0.04995522578994499,0.905069682892345,0.15159268261481387,1.5159268261481391,0.27941176470588236,136,98,0.22013820335636722
17,single_model_risk,0.1,,15634,0.09997441473711143,0.9196219174188046,0.1185876934885506,1.1858769348855063,0.4632352941176471,136,73,0.3899308983218164
17,single_model_risk,0.2,,15634,0.19994882947422285,0.9422769427566358,0.0703594729435845,0.7035947294358451,0.7058823529411765,136,40,0.638038828562027
17,single_model_risk,0.3,,15634,0.2999872073685557,0.9539473684210527,0.043175131124472306,0.43175131124472316,0.875,136,17,0.7778874629812438
17,single_model_risk,0.4,,15634,0.39996162210566716,0.9618377571687453,0.027887936548548035,0.2788793654854804,0.9411764705882353,136,8,0.8565317538664035
17,l2d_single_head,0.0,,15634,0.0,0.8866572854036076,0.18965076116157092,1.7630804656517847,0.0,121,121,0.0
17,l2d_single_head,0.05,,15634,0.04995522578994499,0.8983370362889652,0.1554304720481003,1.5543047204810032,0.2396694214876033,121,92,0.18043844856661045
17,l2d_single_head,0.1,,15634,0.09997441473711143,0.9118754885935613,0.12402456185237304,1.2402456185237307,0.4297520661157025,121,69,0.34603709949409783
17,l2d_single_head,0.2,,15634,0.19994882947422285,0.9309242085065558,0.08577459383395164,0.8577459383395166,0.6115702479338843,121,47,0.5477234401349073
17,l2d_single_head,0.3,,15634,0.2999872073685557,0.9448099415204678,0.05558398362543175,0.5558398362543177,0.7768595041322314,121,27,0.7069139966273187
17,l2d_single_head,0.4,,15634,0.39996162210566716,0.954695661443343,0.03575540488678521,0.3575540488678522,0.8842975206611571,121,14,0.8114671163575042
17,moe_mean,0.0,,15634,0.0,0.8866572854036076,0.1927209927082001,1.7937827811180762,0.0,129,129,0.0
17,moe_mean,0.05,,15634,0.04995522578994499,0.9024439507170269,0.1529359089164641,1.5293590891646416,0.24031007751937986,129,98,0.20643876535014935
17,moe_mean,0.1,,15634,0.09997441473711143,0.9205458034254851,0.11391838301138545,1.1391838301138546,0.4806201550387597,129,67,0.40889478924659806
17,moe_mean,0.2,,15634,0.19994882947422285,0.9414774544291653,0.06997569400025586,0.6997569400025587,0.7054263565891473,129,38,0.6369067374709592
17,moe_mean,0.3,,15634,0.2999872073685557,0.9538559941520468,0.04279135218114366,0.4279135218114367,0.875968992248062,129,16,0.7779621639561899
17,moe_mean,0.4,,15634,0.39996162210566716,0.9625839462743844,0.02820775233465524,0.28207752334655245,0.9224806201550387,129,10,0.8536342515765019
17,moe_tail,0.0,,15634,0.0,0.8795573749520277,0.18229499808110528,1.6185237303313293,0.0,99,99,0.0
17,moe_tail,0.05,,15634,0.04995522578994499,0.8903251868309432,0.14238198797492643,1.3818600486119996,0.3838383838383838,99,61,0.21894736842105264
17,moe_tail,0.1,,15634,0.09997441473711143,0.8987989481913154,0.12005884610464372,1.2005884610464375,0.5252525252525253,99,47,0.3414035087719298
17,moe_tail,0.2,,15634,0.19994882947422285,0.9110968979852894,0.08641422540616604,0.8641422540616607,0.7474747474747475,99,25,0.5259649122807017
17,moe_tail,0.3,,15634,0.2999872073685557,0.9240679824561403,0.061340667775361395,0.613406677753614,0.8585858585858586,99,14,0.6635087719298246
17,moe_tail,0.4,,15634,0.39996162210566716,0.9368937213516683,0.0425354995522579,0.4253549955225791,0.9090909090909091,99,9,0.7666666666666667
17,calibrated_tail,0.0,0.0,15634,0.0,0.8866572854036076,0.1927209927082001,1.7937827811180762,0.0,129,129,0.0
17,calibrated_tail,0.05,0.0,15634,0.04995522578994499,0.9024439507170269,0.1529359089164641,1.5293590891646416,0.24031007751937986,129,98,0.20643876535014935
17,calibrated_tail,0.1,0.0,15634,0.09997441473711143,0.9205458034254851,0.11391838301138545,1.1391838301138546,0.4806201550387597,129,67,0.40889478924659806
17,calibrated_tail,0.2,0.0,15634,0.19994882947422285,0.9414774544291653,0.06997569400025586,0.6997569400025587,0.7054263565891473,129,38,0.6369067374709592
17,calibrated_tail,0.3,0.0,15634,0.2999872073685557,0.9538559941520468,0.04279135218114366,0.4279135218114367,0.875968992248062,129,16,0.7779621639561899
17,calibrated_tail,0.4,0.0,15634,0.39996162210566716,0.9625839462743844,0.02820775233465524,0.28207752334655245,0.9224806201550387,129,10,0.8536342515765019
42,random,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
42,random,0.05,,15634,0.04995522578994499,0.8912677573554164,0.18229499808110528,1.7899449916847898,0.0661764705882353,136,127,0.06219151036525173
