policy,reference,seed,budget,mean,ci_low,ci_high,resamples,unit,conditional_on_fitted_models
random,entropy,17,0.2,0.09255468849942433,0.08225502110784189,0.10381380324932839,1000,individual test image,True
weighted_entropy,entropy,17,0.2,0.008315210438787258,0.001854931559421773,0.01490501471152616,1000,individual test image,True
single_model_risk,entropy,17,0.2,0.009210694639887424,0.0023650377382627608,0.015862862990917232,1000,individual test image,True
l2d_single_head,entropy,17,0.2,0.025969041831904825,0.017778559549699376,0.0341611231930408,1000,individual test image,True
moe_mean,entropy,17,0.2,0.007931431495458616,0.0019780606370730465,0.014455673532045542,1000,individual test image,True
moe_tail,entropy,17,0.2,0.024753741844697454,0.017781757707560446,0.031533836510170145,1000,individual test image,True
calibrated_tail,entropy,17,0.2,0.007931431495458616,0.0019780606370730465,0.014455673532045542,1000,individual test image,True
guarded,entropy,17,0.2,0.0,0.0,0.0,1000,individual test image,True
