split,expert,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
dev,original_vit,6131,0.0,0.8687000489316588,0.23813407274506607,2.0683412167672484,0.0,71,71,0.0
dev,linear_erm,6131,0.0,0.8680476268145491,0.24645245473821561,2.1450008155276468,0.0,78,78,0.0
dev,severity_weighted_linear,6131,0.0,0.8646224106997227,0.21497308758766923,1.7959549828739196,0.0,54,54,0.0
test,original_vit,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
test,linear_erm,15634,0.0,0.8821798643981067,0.21529998720736856,1.9747985160547528,0.0,164,164,0.0
test,severity_weighted_linear,15634,0.0,0.8786618907509275,0.18344633491109122,1.621082256620187,0.0,97,97,0.0
