seed,tail_weight,objective,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,0.0,0.29908675799086765,1533,0.19960861056751467,0.9258353708231459,0.08545335942596216,0.8545335942596219,0.75,16,4,0.6391184573002755
17,0.25,0.30821917808219185,1533,0.19960861056751467,0.9168704156479217,0.08806262230919765,0.8806262230919768,0.7692307692307693,13,3,0.5945945945945946
17,0.5,0.33333333333333337,1533,0.19960861056751467,0.9079054604726976,0.09523809523809523,0.9523809523809527,0.7692307692307693,13,3,0.5680473372781065
17,0.75,0.3470319634703197,1533,0.19960861056751467,0.9030154849225754,0.09915198956294846,0.991519895629485,0.75,12,3,0.540785498489426
17,1.0,0.3470319634703197,1533,0.19960861056751467,0.9030154849225754,0.09915198956294846,0.991519895629485,0.75,12,3,0.5393939393939394
42,0.0,0.30593607305936077,1533,0.19960861056751467,0.928280358598207,0.08741030658838878,0.8741030658838881,0.7333333333333333,15,4,0.5963855421686747
42,0.25,0.35844748858447495,1533,0.19960861056751467,0.9152404237978811,0.10241356816699282,1.0241356816699285,0.6666666666666666,15,5,0.5242424242424243
42,0.5,0.37214611872146125,1533,0.19960861056751467,0.9103504482477588,0.10632746249184605,1.0632746249184608,0.6428571428571429,14,5,0.48742138364779874
42,0.75,0.36301369863013705,1533,0.19960861056751467,0.9103504482477588,0.10371819960861056,1.037181996086106,0.6428571428571429,14,5,0.49201277955271566
42,1.0,0.3652968036529681,1533,0.19960861056751467,0.9095354523227384,0.10437051532941943,1.0437051532941948,0.6428571428571429,14,5,0.49206349206349204
73,0.0,0.22146118721461192,1533,0.19960861056751467,0.9388753056234719,0.06327462491846053,0.6327462491846055,0.8947368421052632,19,2,0.729050279329609
73,0.25,0.22831050228310507,1533,0.19960861056751467,0.9290953545232273,0.06523157208088715,0.6523157208088717,0.9375,16,1,0.6941896024464832
73,0.5,0.24429223744292242,1533,0.19960861056751467,0.9233903830480847,0.06979778212654925,0.6979778212654927,0.9333333333333333,15,1,0.665625
73,0.75,0.25570776255707767,1533,0.19960861056751467,0.9193154034229829,0.0730593607305936,0.7305936073059363,0.9333333333333333,15,1,0.6510903426791277
73,1.0,0.2625570776255708,1533,0.19960861056751467,0.9168704156479217,0.07501630789302022,0.7501630789302024,0.9285714285714286,14,1,0.6314102564102564
