seed,policy,source,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,random,ASONAM17_Damage_Image_Dataset,4200,0.20952380952380953,0.8599397590361446,0.19214285714285714,1.8142857142857145,0.24444444444444444,45,34,0.22028985507246376
17,random,aidr_disaster_types,2069,0.1971967133881102,0.9253461770018061,0.13919768003866603,1.3919768003866606,0.0,20,20,0.08571428571428572
17,random,aidr_info,1919,0.19437206878582594,0.9391979301423027,0.07191245440333507,0.7191245440333509,0.0,4,4,0.14814814814814814
17,random,crisismmd,4822,0.19411032766486935,0.8777663407102418,0.14661965989216094,1.4661965989216097,0.4117647058823529,34,20,0.25343189017951423
17,random,multimodal-deep-learning-disaster-response-mouzannar,2624,0.20160060975609756,0.8921241050119332,0.17797256097560976,1.779725609756098,0.18181818181818182,33,27,0.19482758620689655
17,entropy,ASONAM17_Damage_Image_Dataset,4200,0.2330952380952381,0.9289040670599192,0.09047619047619047,0.904761904761905,0.6666666666666666,45,15,0.6328502415458938
17,entropy,aidr_disaster_types,2069,0.1580473658772354,0.9764638346727899,0.031899468342194294,0.31899468342194304,0.85,20,3,0.7904761904761904
17,entropy,aidr_info,1919,0.13236060448150078,0.9861861861861861,0.015633142261594582,0.15633142261594585,0.75,4,1,0.8148148148148148
17,entropy,crisismmd,4822,0.2322687681459975,0.9478660183684495,0.060348403152218996,0.6034840315221901,0.7647058823529411,34,8,0.6927138331573389
17,entropy,multimodal-deep-learning-disaster-response-mouzannar,2624,0.16996951219512196,0.9527089072543617,0.07355182926829268,0.735518292682927,0.696969696969697,33,10,0.6672413793103448
17,weighted_entropy,ASONAM17_Damage_Image_Dataset,4200,0.21928571428571428,0.9097285757853004,0.09452380952380952,0.9452380952380955,0.6896551724137931,29,9,0.5816649104320337
17,weighted_entropy,aidr_disaster_types,2069,0.13388110198163364,0.9676339285714286,0.04688255195746738,0.4688255195746739,0.6875,16,5,0.6631944444444444
17,weighted_entropy,aidr_info,1919,0.17665450755601875,0.9683544303797469,0.034392912975508075,0.3439291297550809,0.6,5,2,0.6732673267326733
17,weighted_entropy,crisismmd,4822,0.2424305267523849,0.9200656994251301,0.07258399004562423,0.7258399004562424,0.8095238095238095,21,4,0.6220302375809935
17,weighted_entropy,multimodal-deep-learning-disaster-response-mouzannar,2624,0.1600609756097561,0.9496370235934665,0.06859756097560976,0.6859756097560977,0.7307692307692307,26,7,0.6421471172962226
17,single_model_risk,ASONAM17_Damage_Image_Dataset,4200,0.25142857142857145,0.9122137404580153,0.08523809523809524,0.8523809523809526,0.8222222222222222,45,8,0.6541062801932367
17,single_model_risk,aidr_disaster_types,2069,0.12324794586756888,0.9729878721058435,0.04688255195746738,0.4688255195746739,0.7,20,6,0.692063492063492
17,single_model_risk,aidr_info,1919,0.14590932777488275,0.9768151311775473,0.026576341844710787,0.26576341844710794,0.75,4,1,0.6851851851851852
17,single_model_risk,crisismmd,4822,0.2322687681459975,0.9343598055105349,0.0715470759021153,0.7154707590211532,0.7058823529411765,34,10,0.6356916578669483
17,single_model_risk,multimodal-deep-learning-disaster-response-mouzannar,2624,0.15815548780487804,0.9465821638750566,0.09641768292682927,0.964176829268293,0.5454545454545454,33,15,0.5637931034482758
17,l2d_single_head,ASONAM17_Damage_Image_Dataset,4200,0.2454761904761905,0.8958662038497949,0.11261904761904762,1.1261904761904764,0.6904761904761905,42,13,0.5443159922928709
